name,flux1t,flux2t,flux3t,std,var_rel
Gaia DR3 3865750770066866048,1.5 ± 0.1,1.4 ± 0.1,1.52 ± 0.10,0.1,0.07
Gaia DR3 1542384023707558272,2.3 ± 0.1,2.85 ± 0.10,2.5 ± 0.1,0.53,0.21
Gaia DR3 3903928631281956352,1.7 ± 0.2,1.9 ± 0.1,1.9 ± 0.2,0.2,0.11
DES J155957.68+261850.6,1.0 ± 0.1,1.2 ± 0.1,0.9 ± 0.1,0.26,0.26
SDSS J123204.05+375855.8,18.9 ± 0.5,21.5 ± 0.4,20.0 ± 0.1,2.26,0.11
Mrk  248,7.9 ± 0.1,8.1 ± 0.1,8.3 ± 0.1,0.35,0.04
Gaia DR3 777410181751163392,3.7 ± 0.2,4.2 ± 0.2,3.6 ± 0.2,0.56,0.15
SDSS J111944.14+322527.1,1.53 ± 0.09,1.19 ± 0.09,1.5 ± 0.1,0.33,0.23
Gaia DR3 1736877765117356160,4.4 ± 0.1,4.2 ± 0.2,5.4 ± 0.1,1.11,0.24
Gaia DR3 2643553715014622592,3.0 ± 0.1,3.2 ± 0.2,3.2 ± 0.1,0.2,0.06
Gaia DR3 1323543306688697856,6.7 ± 0.2,8.9 ± 0.2,10.2 ± 0.1,3.06,0.36
Gaia DR3 4460046219448448384,12.2 ± 0.2,11.5 ± 0.2,9.9 ± 0.2,2.04,0.18
Gaia DR3 1736882751574379520,10.2 ± 0.9,7.2 ± 0.8,9.1 ± 0.8,2.63,0.3
Gaia DR3 977302598271378688,4.8 ± 0.2,5.0 ± 0.2,4.0 ± 0.2,0.92,0.2
SDSS J105223.23+313012.7,1.0 ± 0.1,0.7 ± 0.1,0.7 ± 0.2,0.3,0.38
Gaia DR3 3147101998693078016,19.3 ± 0.3,19.7 ± 0.4,20.0 ± 0.2,0.61,0.03
2MASS J09293406+4707463,0.9 ± 0.2,0.8 ± 0.1,0.6 ± 0.1,0.26,0.35
NVSS J142856+254838,3.2 ± 0.1,2.8 ± 0.1,2.8 ± 0.1,0.4,0.14
Gaia DR3 3892316693276812544,1.3 ± 0.1,1.8 ± 0.2,1.6 ± 0.1,0.44,0.28
SDSS J133022.02+455230.8,0.9 ± 0.8,0.8 ± 0.1,1.28 ± 0.09,0.44,0.44
Gaia DR3 3963451900137526784,3.3 ± 0.1,4.1 ± 0.2,3.4 ± 0.1,0.75,0.21
Gaia DR3 2683793293674638976,5.0 ± 0.1,5.3 ± 0.2,4.4 ± 0.1,0.79,0.16
SDSS J225631.89+085231.4,1.59 ± 0.09,1.5 ± 0.1,1.6 ± 0.1,0.1,0.06
Gaia DR3 760686335014130688,3.1 ± 0.1,4.0 ± 0.1,3.6 ± 0.1,0.78,0.22
LEDA 2249500,0.50 ± 0.09,<0.4,0.5 ± 0.1,0.1,0.21
Gaia DR3 3719920348147309056,0.4 ± 0.1,0.6 ± 0.1,0.69 ± 0.09,0.26,0.46
Gaia DR3 4000146206633933440,0.61 ± 0.08,0.5 ± 0.1,0.65 ± 0.09,0.13,0.23
Gaia DR3 706133477191529728,0.6 ± 0.1,0.5 ± 0.1,0.66 ± 0.10,0.17,0.29
Gaia DR3 826233823784927488,0.7 ± 0.1,1.0 ± 0.1,1.0 ± 0.1,0.3,0.33
SDSS J094357.89+272556.9,0.8 ± 0.2,0.9 ± 0.1,0.8 ± 0.1,0.1,0.12
Gaia DR3 735570667642165632,0.56 ± 0.10,0.9 ± 0.1,0.7 ± 0.1,0.26,0.36
SDSS J084426.55+354151.4,38.7 ± 0.4,39.6 ± 0.2,32.6 ± 0.3,6.6,0.18
FIRST J090647.6+291310,0.6 ± 0.1,0.5 ± 0.1,<0.4,0.17,0.35
SDSS J160306.63+111152.5,0.5 ± 0.1,0.6 ± 0.1,0.6 ± 0.1,0.1,0.18
Gaia DR3 1553829183835815168,2.9 ± 0.2,2.9 ± 0.2,3.0 ± 0.2,0.1,0.03
SDSS J082148.04+113914.1,1.4 ± 0.1,1.4 ± 0.1,1.5 ± 0.1,0.1,0.07
FIRST J080000.0+152326,4.7 ± 0.1,4.9 ± 0.2,4.7 ± 0.2,0.2,0.04
SDSS J084423.06+523920.5,2.9 ± 0.2,2.6 ± 0.2,3.3 ± 0.2,0.61,0.21
NVSS J085654+070619,1.6 ± 0.1,1.1 ± 0.2,1.9 ± 0.1,0.7,0.46
Gaia DR3 1099266234820892800,2.4 ± 0.1,3.3 ± 0.1,4.7 ± 0.1,2.01,0.58
Gaia DR3 850985342354361088,3.2 ± 0.2,3.0 ± 0.2,3.0 ± 0.2,0.2,0.07
Gaia DR3 1020134069436777856,1.6 ± 0.1,1.1 ± 0.2,1.8 ± 0.1,0.62,0.42
SDSS J000240.13+104133.9,6.9 ± 0.3,6.4 ± 0.1,4.5 ± 0.2,2.19,0.37
SDSS J130849.16-020220.1,12.3 ± 0.2,12.8 ± 0.2,12.7 ± 0.2,0.46,0.04
Gaia DR3 898799151676768000,1.7 ± 0.1,1.7 ± 0.1,1.5 ± 0.1,0.2,0.12
Gaia DR3 2726129409081693056,0.9 ± 0.1,0.8 ± 0.2,0.8 ± 0.1,0.1,0.12
Gaia DR3 791397167951579520,0.53 ± 0.07,0.7 ± 0.1,0.7 ± 0.1,0.17,0.26
Gaia DR3 618010746961651072,4.2 ± 0.1,4.4 ± 0.2,5.6 ± 0.1,1.31,0.28
Gaia DR3 2643917752145972224,9.3 ± 0.2,10.4 ± 0.2,10.6 ± 0.2,1.21,0.12
Gaia DR3 6908118376338615936,2.6 ± 0.2,2.2 ± 0.2,2.4 ± 0.1,0.35,0.14
Gaia DR3 1192843333002967680,1.2 ± 0.1,1.8 ± 0.1,1.3 ± 0.1,0.56,0.39
SDSS J144541.30+334107.8,2.3 ± 0.1,2.3 ± 0.2,2.48 ± 0.09,0.18,0.08
SDSS J235026.51+044827.2,14.0 ± 0.2,16.4 ± 0.2,19.5 ± 0.2,4.78,0.29
SDSS J133040.75+005354.0,5.5 ± 0.2,5.7 ± 0.1,6.5 ± 0.1,0.92,0.16
Gaia DR3 3656371290480639104,2.3 ± 0.2,2.2 ± 0.2,2.1 ± 0.1,0.17,0.08
